Provincia,Partido,Unnamed: 2,Poblacion,ADSL,CABLEMODEM,Unnamed: 6,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Unnamed: 13,Latitud,Longitud
BUENOS AIRES,Tandil,María Ignacia (Est Vela),00,SI,--,--,0,--,SI,SI,--,0,67910400,"-37,4029073074266","-59,5093354449092"
0,Tandil,Tandil,00,0,SI,SI,0,0,SI,SI,SI,SI,00,"-37,3238849060878","-59,1310691770429"
0,Tapalqué,Crotto,2470,0,--,--,--,0,--,0,--,--,00,0,"-60,1711185359919"
BUENOS AIRES,0,0,74440,--,0,0,--,SI,0,SI,SI,0,67980200,"-36,3573669882462","-60,0247443487218"
BUENOS AIRES,0,Velloso,1270,--,0,--,--,--,0,--,0,--,67980300,"-36,1215309084723",0
0,Tigre,Benavídez,427810,0,SI,--,SI,0,SI,0,SI,SI,68050100,0,"-58,6887919689512"
BUENOS AIRES,Tigre,Dique Luján,00,0,SI,--,0,--,SI,0,SI,SI,00,0,"-58,6917925096496"
CABA,COMUNA 10,FLORESTA,00,SI,SI,SI,0,SI,SI,SI,0,SI,20000100,"-34,6276862905939",0
0,Futaleufú,Los Cipreses,00,0,--,--,0,0,--,SI,--,0,260350500,"-43,1847146210617","-71,6413919295155"
CHUBUT,Futaleufú,0,63530,SI,--,0,--,SI,SI,0,SI,SI,00,0,"-71,4654853699539"
CHUBUT,0,0,280,--,0,0,--,SI,0,SI,--,--,00,"-42,9006375858067","-71,6061535113717"
CHUBUT,0,28 de Julio,2370,--,0,--,SI,SI,0,--,SI,0,260420400,"-43,3809771295585","-65,8386877428492"
CHUBUT,Gaiman,0,1560,--,--,0,--,--,--,SI,0,0,260420100,"-43,7032847513538",0
0,Gaiman,Dolavon,28870,0,--,SI,SI,0,--,SI,--,SI,00,"-43,309297578868","-65,7087388385691"
0,San Isidro,Martínez,00,0,SI,SI,0,SI,SI,0,SI,SI,00,0,"-58,5105732755943"
BUENOS AIRES,0,0,454030,SI,0,0,SI,SI,0,SI,0,SI,67560100,"-34,4770412162141",0
BUENOS AIRES,0,Villa Adelina,354730,SI,0,--,SI,--,0,SI,0,0,67560100,"-34,5151197673508",0
0,San Miguel,Bella Vista,00,0,SI,SI,0,0,SI,0,SI,SI,67600100,0,"-58,6960409885544"
BUENOS AIRES,San Miguel,Campo De Mayo,00,--,--,--,0,SI,--,0,SI,SI,00,0,"-58,6513860167431"
BUENOS AIRES,0,0,286150,SI,0,0,SI,--,0,SI,0,SI,67600100,"-34,5557351629874",0
CORDOBA,Cruz del Eje,0,2160,--,--,0,--,--,SI,SI,0,0,140280300,"-30,8666932853441",0
CORDOBA,0,0,1300,--,0,0,--,--,SI,--,--,--,00,"-31,0662466251544","-64,9425321672363"
BUENOS AIRES,0,Berisso,876980,SI,0,SI,SI,--,0,0,SI,SI,60980100,0,"-57,8947472316799"
BUENOS AIRES,Berisso,Los Talas,00,--,--,--,0,0,--,--,0,0,60980100,"-34,9190209219847",0
0,Berisso,Villa Arguello,00,0,--,--,SI,0,SI,--,0,SI,60980100,"-34,9053981881099",0
BUENOS AIRES,0,Villa Dolores,00,--,0,--,--,--,0,0,SI,SI,60980100,0,"-57,8663036732616"
BUENOS AIRES,0,0,00,--,0,0,--,--,0,--,--,--,00,"-34,8829519743895","-57,8614892695719"
BUENOS AIRES,0,Villa Nueva,00,--,0,--,SI,--,0,--,SI,0,60980100,"-34,8957079362353","-57,9108816644737"
BUENOS AIRES,Berisso,0,00,--,0,0,--,--,--,--,0,--,60980100,"-34,891043310448",0
0,Berisso,Villa Progreso,00,0,--,--,SI,0,SI,0,--,--,00,0,"-57,8468799885622"
BUENOS AIRES,Berisso,Villa San Carlos,00,--,--,--,0,0,--,0,SI,SI,60980100,0,"-57,87701595642"
BUENOS AIRES,Berisso,Villa Zula,00,--,--,--,0,--,--,--,0,--,60980100,"-34,9221646298322",0
0,Bolívar,Hale,00,0,--,--,0,0,--,SI,0,0,61050100,"-36,0010429767568",0
BUENOS AIRES,Bolívar,0,330,--,--,0,--,--,--,0,--,--,61050200,0,"-61,2552591224518"
BUENOS AIRES,0,0,00,--,0,0,--,--,0,0,--,--,00,"-36,1440485245343","-61,0116010100704"
0,Bolívar,Paula,400,0,--,--,--,0,--,--,--,0,61050400,"-36,5053183545527","-61,0243287245345"
BUENOS AIRES,Bolívar,Pirovano,00,--,--,--,0,--,SI,SI,0,0,61050500,"-36,5109170215402",0
BUENOS AIRES,Bolívar,0,262420,SI,SI,0,--,--,0,SI,SI,SI,00,"-36,2295602208798","-61,1131898679983"
BUENOS AIRES,0,Urdampilleta,26430,--,0,SI,--,--,0,0,SI,SI,00,0,"-61,4191160192421"
BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,00,0,--,--,0,--,--,--,--,0,61050800,"-36,6025793254646","-61,3618625494725"
0,Bragado,Asamblea,70,0,--,--,--,0,--,--,0,--,61120050,"-35,2267581272748",0
0,COMUNA 12,VILLA URQUIZA,00,0,SI,SI,0,0,SI,0,SI,SI,20000100,0,"-58,4878560596649"
CORDOBA,Río Cuarto,Alpa Corral,00,--,--,--,0,--,--,--,SI,SI,00,"-32,6904036665231","-64,721171054893"
CORDOBA,0,0,68690,SI,0,0,SI,--,0,SI,0,0,140980500,"-32,4528669215341",0
CORDOBA,Río Cuarto,0,10510,SI,--,0,--,SI,--,--,SI,0,140980600,"-33,5032818212674","-64,6755735163666"
CORDOBA,Río Cuarto,Chaján,00,--,--,--,0,SI,--,SI,SI,SI,00,"-33,5563361347485","-65,0052699166312"
0,Río Cuarto,Chucul,00,0,--,--,SI,0,SI,0,SI,SI,140980800,0,"-64,1712493406755"
CORDOBA,0,0,14560,--,0,0,SI,--,0,0,SI,SI,140980900,0,"-64,3598591374051"
CHACO,San Lorenzo,0,102240,--,--,0,SI,SI,SI,0,SI,SI,00,0,"-60,4155962080604"
0,Sargento Cabral,Capitán Solari,00,0,--,--,0,0,SI,SI,0,SI,221540100,"-26,8050732181615",0
CHACO,Sargento Cabral,Colonia Elisa,00,--,--,--,0,SI,--,SI,0,0,221540200,"-26,9324550960675",0
CHACO,Sargento Cabral,Colonias Unidas,00,--,--,--,0,0,SI,SI,SI,SI,00,"-26,7000971775462","-59,6277421824927"
0,Sargento Cabral,Ingeniero Barbet,2770,0,--,--,--,0,--,0,--,--,221540400,0,"-59,4825136520473"
CHACO,Sargento Cabral,0,37110,--,0,0,--,SI,SI,SI,0,0,221540500,"-26,6193460346699",0
CHACO,0,Charadai,15190,--,0,--,SI,SI,0,SI,0,SI,221610100,"-27,6553304709616",0
0,Tapenagá,Cote Lai,13230,0,--,--,--,0,--,0,--,SI,221610200,0,"-59,5765171513905"
0,Tapenagá,Haumonía,00,0,--,--,0,0,--,--,--,--,00,"-27,5077849029352","-60,1635277537413"
CHACO,Tapenagá,0,1220,--,--,0,--,--,--,--,0,--,221610400,"-27,5427589336639",0
CHACO,0,0,2420,--,0,0,--,--,0,--,--,0,221610500,"-27,8738009106984","-59,939569589112"
CHUBUT,Biedma,Arroyo Verde,00,--,--,--,0,SI,--,0,--,--,00,0,"-65,3064500926092"
0,Biedma,Puerto Madryn,00,0,SI,SI,0,0,SI,SI,SI,SI,00,"-42,7550996783449","-65,0422298178163"
0,Biedma,Puerto Pirámide,5650,0,--,--,--,0,SI,SI,SI,0,260070300,"-42,5736171931039","-64,2836893467339"
0,Biedma,Quinta El Mirador,00,0,--,--,0,--,SI,--,0,0,260070400,"-42,811590013144",0
CORDOBA,0,Cruz del Eje,306800,SI,0,--,SI,--,0,SI,SI,SI,00,"-30,7218592173102","-64,8077377312137"
CORDOBA,Cruz del Eje,0,17490,--,--,0,SI,--,0,0,--,--,140280600,0,"-64,8699070292303"
0,Cruz del Eje,El Rincón,00,0,--,--,0,0,--,--,0,--,140280700,"-30,7491607666016",0
0,Cruz del Eje,Guanaco Muerto,3200,0,--,--,--,0,SI,--,0,0,140280800,"-30,4794131800612",0
0,Cruz del Eje,La Banda,5600,0,--,--,0,0,--,0,--,--,140280900,0,"-64,6459839334075"
CORDOBA,Cruz del Eje,La Batea,00,--,--,--,0,--,SI,--,--,--,00,"-30,4417646532675","-65,4238386532105"
CORDOBA,0,La Higuera,4040,SI,0,--,--,--,0,SI,0,0,140281100,"-31,0139548417914",0
CORDOBA,Cruz del Eje,0,1490,--,--,0,--,--,--,--,--,0,140281200,"-30,9332479488458","-64,7189758691612"
CORDOBA,0,0,9370,--,0,0,SI,--,0,--,--,--,00,"-30,6895900139602","-64,8508831281017"
CORDOBA,0,Los Chañaritos,3110,--,0,--,SI,--,0,0,--,--,00,0,"-64,9410778222467"
0,Cruz del Eje,Media Naranja,00,0,--,--,0,0,SI,--,--,0,140281500,"-30,6233104657952","-64,9515406139404"
0,Cruz del Eje,Paso Viejo,10330,0,--,--,--,0,SI,SI,0,SI,140281600,"-30,7686835768001",0
CORDOBA,0,San Marcos Sierra,9430,--,0,--,SI,--,0,0,SI,SI,140281700,0,"-64,6468515131076"
CORDOBA,Cruz del Eje,0,24410,SI,--,0,SI,--,SI,0,SI,SI,00,0,"-65,3813009621884"
CORDOBA,Cruz del Eje,Tuclame,00,--,--,--,0,--,SI,--,0,--,140281900,"-30,7485284753417",0
0,General Pueyrredón,Chapadmalal,41120,0,--,--,SI,0,SI,SI,0,0,63570800,"-38,1757779275595",0
BUENOS AIRES,General Pueyrredón,0,1960,--,--,0,--,--,SI,0,--,--,63570900,0,"-57,763418077922"
BUENOS AIRES,0,Estacion Camet,00,--,0,0,--,--,0,--,SI,SI,00,"-37,888665236683","-57,6000121501773"
BUENOS AIRES,0,Estación Chapadmalal,16330,SI,0,--,SI,SI,0,--,0,0,63571000,"-38,036727731373",0
BUENOS AIRES,0,0,5609130,SI,0,0,SI,SI,0,SI,0,SI,63571100,"-38,0120914785136",0
0,General Pueyrredón,Punta Mogotes,00,0,--,--,--,0,--,0,SI,SI,00,0,"-57,5859350936487"
0,General Pueyrredón,Sierra de los Padres,00,0,--,--,0,0,SI,0,SI,SI,63571200,0,"-57,7715971022228"
BUENOS AIRES,0,0,00,--,--,0,SI,--,--,--,0,SI,63640300,"-34,6882159472973",0
BUENOS AIRES,0,Country Club Bosque Real - Barrio Morabo,00,--,0,--,--,--,0,--,SI,0,63640300,"-34,555","-58,935"
CABA,COMUNA 05,0,1316990,SI,SI,0,SI,SI,SI,0,SI,SI,00,0,"-58,4217452253939"
CHUBUT,0,0,1751960,SI,0,SI,SI,SI,0,0,SI,SI,260210300,0,"-67,5430559979427"
CHUBUT,Escalante,Diadema Argentina,00,--,--,--,0,--,SI,--,0,0,260210400,"-45,7906089158021","-67,6738925726169"
0,Escalante,Km 11 - Cuarteles,00,0,--,--,--,0,--,--,0,--,260210200,"-45,7707679612545",0
0,Escalante,KM 3 - General Mosconi,00,0,--,--,--,0,--,0,SI,SI,260210200,0,"-67,4917096424434"
0,Escalante,KM 5 - Presidente Ortiz,00,0,--,--,0,0,--,--,--,--,00,"-45,7875522789201","-67,4695736235974"
